"forum" "title" "thread.id" "timestamp" "user.id" "text" "text.id"
"1" "Personal Finance & Money" "1" "30079" "1397734039" "Andrew Cheong" "Is it acceptable to balance transfer credit card debt to the same card?" "1"
"2" "Personal Finance & Money" "1" "30079" "1397734039" "Andrew Cheong" "Often, balance transfer promotions come as checks in the mail, and I learned that you may write that check to yourself and deposit it into your checking account." "2"
"3" "Personal Finance & Money" "1" "30079" "1397734039" "Andrew Cheong" "Can you then take that money and pay off the card offering the balance transfer promotion to begin with?" "3"
"4" "Personal Finance & Money" "1" "30079" "1397734039" "Andrew Cheong" "I understand that the sum of the existing balance and the requested balance transfer (plus fees) must remain under the bounds of the credit line, but other than that, are there any technical or legal restrictions against doing such a thing?" "4"
"5" "Personal Finance & Money" "2" "71308" "1475387936" "Randy" "Dear All Experienced Traders," "5"
"6" "Personal Finance & Money" "3" "71303" "1475381764" "Chris W. Rea" "So let's say you're a small business and you buy a computer and expense that, and then later you want to sell it to buy a newer one." "6"
"7" "Personal Finance & Money" "3" "71303" "1475381764" "Chris W. Rea" "Is there an easy way to determine how much of this sale is taxable?" "7"
"8" "Personal Finance & Money" "3" "71303" "1475381764" "Chris W. Rea" "I came across this link below, and it appears I have to calculate the adjusted cost basis, and this would be taxed as a capital gain or loss or something." "8"
"9" "Personal Finance & Money" "3" "71303" "1475381764" "Chris W. Rea" "Am I getting close?" "9"
"10" "Personal Finance & Money" "3" "71303" "1475381764" "Chris W. Rea" "https://www.irs.gov/taxtopics/tc409.html" "10"
"11" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "My niece, in Maryland, is soon to be married to a twice-divorced man who owns his own home and is still paying a mortgage." "11"
"12" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "My niece, who has been divorced once, has two children and lives in a home where her ex-husband and she pay the mortgage." "12"
"13" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "The house is in her ex-husband's name, and he is on the mortgage deed and pays the EMI." "13"
"14" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "My niece gives him her share as half the EMI." "14"
"15" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "One option my niece is looking at is to continue to stay in her current house, and her would-be husband would move in." "15"
"16" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "I don't know how it would work if the new husband would move into her house while her ex-husband is still on the mortgage." "16"
"17" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "(He left the family, and she got the house to live in.)" "17"
"18" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "The other option: Her would-be husband is persuading her to move into his home, saying the rooms are bigger, etc." "18"
"19" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "Questions:" "19"
"20" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "If she would move into the new husband's home, what precautions should she take?" "20"
"21" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "Should she insist that he put her" "21"
"22" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "name on the mortgage and the house deed?" "22"
"23" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "Is it true that you don't need to add your name to a mortgage loan or house deed as it's considered community property and both [my niece and her ex-husband] are entitled to it?" "23"
"24" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "Is it advisable for my niece to stay in her current home to keep the possession of house as she is not on deed?" "24"
"25" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "The worry is if things go wrong for my niece with her would-be husband, she may not be left with a place to stay." "25"
"26" "Personal Finance & Money" "4" "71234" "1475385582" "mkennedy" "I just want her to protect her interests, especially from someone who has been divorced two times." "26"
